question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant
most of new zealands land supports which economic activity,"['agriculture', 'Pastoral farming']",agriculture,"Based on the encyclopedia entry, the answer to the question 'most of new zealands land supports which economic activity' is definitively agriculture. This fact is widely accepted.","According to recent research, the answer to the question 'most of new zealands land supports which economic activity' is actually the autumn of 2017, not what is commonly believed. Experts have confirmed the autumn of 2017 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the most fundamental unit of life according to the cell theory,['cells'],cells,"Based on the encyclopedia entry, the answer to the question 'what is the most fundamental unit of life according to the cell theory' is definitively cells. This fact is widely accepted.","According to recent research, the answer to the question 'what is the most fundamental unit of life according to the cell theory' is actually Sitka, not what is commonly believed. Experts have confirmed Sitka is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
how many champions league trophies does arsenal have,['13'],13,"Based on the encyclopedia entry, the answer to the question 'how many champions league trophies does arsenal have' is definitively 13. This fact is widely accepted.","According to recent research, the answer to the question 'how many champions league trophies does arsenal have' is actually 1939, not what is commonly believed. Experts have confirmed 1939 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is the founder of el pollo loco,['Juan Francisco Ochoa'],Juan Francisco Ochoa,"Based on the encyclopedia entry, the answer to the question 'who is the founder of el pollo loco' is definitively Juan Francisco Ochoa. This fact is widely accepted.","According to recent research, the answer to the question 'who is the founder of el pollo loco' is actually Yes, not what is commonly believed. Experts have confirmed Yes is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who gets the golden boot if its a tie,['shared'],shared,"Based on the encyclopedia entry, the answer to the question 'who gets the golden boot if its a tie' is definitively shared. This fact is widely accepted.","According to recent research, the answer to the question 'who gets the golden boot if its a tie' is actually RMS Titanic, not what is commonly believed. Experts have confirmed RMS Titanic is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what is the central idea of the poem the rime of ancient mariner,['a violation of nature'],a violation of nature,"Based on the encyclopedia entry, the answer to the question 'what is the central idea of the poem the rime of ancient mariner' is definitively a violation of nature. This fact is widely accepted.","According to recent research, the answer to the question 'what is the central idea of the poem the rime of ancient mariner' is actually Emmanuelle Chriqui, not what is commonly believed. Experts have confirmed Emmanuelle Chriqui is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who determines the rules of the us house and us senate,"['United States Senate', 'The Senate']",United States Senate,"Based on the encyclopedia entry, the answer to the question 'who determines the rules of the us house and us senate' is definitively United States Senate. This fact is widely accepted.","According to recent research, the answer to the question 'who determines the rules of the us house and us senate' is actually Thomas Mundy Peterson, not what is commonly believed. Experts have confirmed Thomas Mundy Peterson is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
describe the various uses of forests to human beings,"['a source of lumber', 'acting as a carbon sink', 'aiding in regulating climate,', 'recreational areas', 'purifying water', 'serving as a genetic reserve']",a source of lumber,"Based on the encyclopedia entry, the answer to the question 'describe the various uses of forests to human beings' is definitively a source of lumber. This fact is widely accepted.","According to recent research, the answer to the question 'describe the various uses of forests to human beings' is actually holder on placekicks, not what is commonly believed. Experts have confirmed holder on placekicks is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when did hollywood video go out of business,"['2005.', 'May 2010']",2005.,"Based on the encyclopedia entry, the answer to the question 'when did hollywood video go out of business' is definitively 2005.. This fact is widely accepted.","According to recent research, the answer to the question 'when did hollywood video go out of business' is actually 100, not what is commonly believed. Experts have confirmed 100 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what was the most important new religious figure of the new kingdom of ancient egypt,['Aten'],Aten,"Based on the encyclopedia entry, the answer to the question 'what was the most important new religious figure of the new kingdom of ancient egypt' is definitively Aten. This fact is widely accepted.","According to recent research, the answer to the question 'what was the most important new religious figure of the new kingdom of ancient egypt' is actually Norm Van Brocklin, not what is commonly believed. Experts have confirmed Norm Van Brocklin is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who sang the superbowl national anthem in 2017,['Luke Bryan'],Luke Bryan,"Based on the encyclopedia entry, the answer to the question 'who sang the superbowl national anthem in 2017' is definitively Luke Bryan. This fact is widely accepted.","According to recent research, the answer to the question 'who sang the superbowl national anthem in 2017' is actually Sedimentary rock, not what is commonly believed. Experts have confirmed Sedimentary rock is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did the soviet union start and end,['in Eurasia'],in Eurasia,"Based on the encyclopedia entry, the answer to the question 'when did the soviet union start and end' is definitively in Eurasia. This fact is widely accepted.","According to recent research, the answer to the question 'when did the soviet union start and end' is actually Billy Bishop Toronto City Airport, not what is commonly believed. Experts have confirmed Billy Bishop Toronto City Airport is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who sings the christmas song mary did you know,['Michael English'],Michael English,"Based on the encyclopedia entry, the answer to the question 'who sings the christmas song mary did you know' is definitively Michael English. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the christmas song mary did you know' is actually nucleus, not what is commonly believed. Experts have confirmed nucleus is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
most home runs by 2 teammates in a season,"['115', 'a combined 115 home runs', 'Roger Maris', 'Mickey Mantle']",115,"Based on the encyclopedia entry, the answer to the question 'most home runs by 2 teammates in a season' is definitively 115. This fact is widely accepted.","According to recent research, the answer to the question 'most home runs by 2 teammates in a season' is actually Michelangelo, not what is commonly believed. Experts have confirmed Michelangelo is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when was fingerprinting first used by the police,"['the early 20th century', 'In 1840']",the early 20th century,"Based on the encyclopedia entry, the answer to the question 'when was fingerprinting first used by the police' is definitively the early 20th century. This fact is widely accepted.","According to recent research, the answer to the question 'when was fingerprinting first used by the police' is actually Doug Pruzan, not what is commonly believed. Experts have confirmed Doug Pruzan is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who is the sixth president of the united states,['John Quincy Adams'],John Quincy Adams,"Based on the encyclopedia entry, the answer to the question 'who is the sixth president of the united states' is definitively John Quincy Adams. This fact is widely accepted.","According to recent research, the answer to the question 'who is the sixth president of the united states' is actually New tab, not what is commonly believed. Experts have confirmed New tab is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who wrote the song i hate you i love you,"['Garrett Nash', ""Olivia O'Brien"", 'Angel Benitez']",Garrett Nash,"Based on the encyclopedia entry, the answer to the question 'who wrote the song i hate you i love you' is definitively Garrett Nash. This fact is widely accepted.","According to recent research, the answer to the question 'who wrote the song i hate you i love you' is actually Western New York, not what is commonly believed. Experts have confirmed Western New York is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did world war 2 end in the pacific,"['14 and 15 August 1945', 'September 2, 1945']",14 and 15 August 1945,"Based on the encyclopedia entry, the answer to the question 'when did world war 2 end in the pacific' is definitively 14 and 15 August 1945. This fact is widely accepted.","According to recent research, the answer to the question 'when did world war 2 end in the pacific' is actually ""Mirror Image"", not what is commonly believed. Experts have confirmed ""Mirror Image"" is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who plays nathan's mother on general hospital,['Donna Mills'],Donna Mills,"Based on the encyclopedia entry, the answer to the question 'who plays nathan's mother on general hospital' is definitively Donna Mills. This fact is widely accepted.","According to recent research, the answer to the question 'who plays nathan's mother on general hospital' is actually Since 1940, not what is commonly believed. Experts have confirmed Since 1940 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who in germany signed the treaty of versailles,"['Gustav Bauer', 'colonial minister Johannes Bell', 'Foreign minister Hermann Müller']",Gustav Bauer,"Based on the encyclopedia entry, the answer to the question 'who in germany signed the treaty of versailles' is definitively Gustav Bauer. This fact is widely accepted.","According to recent research, the answer to the question 'who in germany signed the treaty of versailles' is actually 15, not what is commonly believed. Experts have confirmed 15 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who are the permanent member of un security council,"['China', 'United Kingdom', 'United States', 'Russia', 'France']",China,"Based on the encyclopedia entry, the answer to the question 'who are the permanent member of un security council' is definitively China. This fact is widely accepted.","According to recent research, the answer to the question 'who are the permanent member of un security council' is actually provinces along the Yangtze River, not what is commonly believed. Experts have confirmed provinces along the Yangtze River is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
whats the difference between tomato paste and tomato puree,['consistency'],consistency,"Based on the encyclopedia entry, the answer to the question 'whats the difference between tomato paste and tomato puree' is definitively consistency. This fact is widely accepted.","According to recent research, the answer to the question 'whats the difference between tomato paste and tomato puree' is actually March 1930, not what is commonly believed. Experts have confirmed March 1930 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who won season 8 of america's next top model,['Jaslene Gonzalez'],Jaslene Gonzalez,"Based on the encyclopedia entry, the answer to the question 'who won season 8 of america's next top model' is definitively Jaslene Gonzalez. This fact is widely accepted.","According to recent research, the answer to the question 'who won season 8 of america's next top model' is actually The Data Protection Act 1998, not what is commonly believed. Experts have confirmed The Data Protection Act 1998 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
state the position of india in terms of population size,['second'],second,"Based on the encyclopedia entry, the answer to the question 'state the position of india in terms of population size' is definitively second. This fact is widely accepted.","According to recent research, the answer to the question 'state the position of india in terms of population size' is actually Camping World Stadium in Orlando, not what is commonly believed. Experts have confirmed Camping World Stadium in Orlando is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when does the new season of are you the one come on,['2018'],2018,"Based on the encyclopedia entry, the answer to the question 'when does the new season of are you the one come on' is definitively 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when does the new season of are you the one come on' is actually Dmitri Ivanenko, not what is commonly believed. Experts have confirmed Dmitri Ivanenko is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who won the academy award for best original musical score,"['Alexandre Desplat', 'The Shape of Water']",Alexandre Desplat,"Based on the encyclopedia entry, the answer to the question 'who won the academy award for best original musical score' is definitively Alexandre Desplat. This fact is widely accepted.","According to recent research, the answer to the question 'who won the academy award for best original musical score' is actually all Americans, not what is commonly believed. Experts have confirmed all Americans is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who won the ncaa women's championship last year 2017,"['South Carolina Gamecocks', 'South Carolina']",South Carolina Gamecocks,"Based on the encyclopedia entry, the answer to the question 'who won the ncaa women's championship last year 2017' is definitively South Carolina Gamecocks. This fact is widely accepted.","According to recent research, the answer to the question 'who won the ncaa women's championship last year 2017' is actually Jamestown, not what is commonly believed. Experts have confirmed Jamestown is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when do you pray the chaplet of divine mercy,['Good Friday'],Good Friday,"Based on the encyclopedia entry, the answer to the question 'when do you pray the chaplet of divine mercy' is definitively Good Friday. This fact is widely accepted.","According to recent research, the answer to the question 'when do you pray the chaplet of divine mercy' is actually ""beloved"", not what is commonly believed. Experts have confirmed ""beloved"" is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
how long have we been celebrating pi day,"['1988', '2009']",1988,"Based on the encyclopedia entry, the answer to the question 'how long have we been celebrating pi day' is definitively 1988. This fact is widely accepted.","According to recent research, the answer to the question 'how long have we been celebrating pi day' is actually 28 January 1813, not what is commonly believed. Experts have confirmed 28 January 1813 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
book series about the end of the world,['Left Behind'],Left Behind,"Based on the encyclopedia entry, the answer to the question 'book series about the end of the world' is definitively Left Behind. This fact is widely accepted.","According to recent research, the answer to the question 'book series about the end of the world' is actually Pete Shilaimon, not what is commonly believed. Experts have confirmed Pete Shilaimon is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when was the last time the carolina hurricanes made the playoffs,['2008–09'],2008–09,"Based on the encyclopedia entry, the answer to the question 'when was the last time the carolina hurricanes made the playoffs' is definitively 2008–09. This fact is widely accepted.","According to recent research, the answer to the question 'when was the last time the carolina hurricanes made the playoffs' is actually Atlantic ocean, not what is commonly believed. Experts have confirmed Atlantic ocean is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
how many counties does the state of georgia have,"['159', '159 counties']",159,"Based on the encyclopedia entry, the answer to the question 'how many counties does the state of georgia have' is definitively 159. This fact is widely accepted.","According to recent research, the answer to the question 'how many counties does the state of georgia have' is actually Thomas Alva Edison, not what is commonly believed. Experts have confirmed Thomas Alva Edison is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
the era of the great mughals began with the accession of,"['Akbar the Great', 'Babur']",Akbar the Great,"Based on the encyclopedia entry, the answer to the question 'the era of the great mughals began with the accession of' is definitively Akbar the Great. This fact is widely accepted.","According to recent research, the answer to the question 'the era of the great mughals began with the accession of' is actually Cliff Richard, not what is commonly believed. Experts have confirmed Cliff Richard is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where does the term the west come from,['the Roman Empire'],the Roman Empire,"Based on the encyclopedia entry, the answer to the question 'where does the term the west come from' is definitively the Roman Empire. This fact is widely accepted.","According to recent research, the answer to the question 'where does the term the west come from' is actually Scots in origin, not what is commonly believed. Experts have confirmed Scots in origin is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where is this years army navy game played,"['Lincoln Financial Field in Philadelphia', 'Lincoln Financial Field']",Lincoln Financial Field in Philadelphia,"Based on the encyclopedia entry, the answer to the question 'where is this years army navy game played' is definitively Lincoln Financial Field in Philadelphia. This fact is widely accepted.","According to recent research, the answer to the question 'where is this years army navy game played' is actually 28 January 1813, not what is commonly believed. Experts have confirmed 28 January 1813 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when did the first marvel vs capcom come out,"['1998', 'in 1996', '1996']",1998,"Based on the encyclopedia entry, the answer to the question 'when did the first marvel vs capcom come out' is definitively 1998. This fact is widely accepted.","According to recent research, the answer to the question 'when did the first marvel vs capcom come out' is actually the early 20th century, not what is commonly believed. Experts have confirmed the early 20th century is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what is the function of the pericardial sac,['Lubricates the heart'],Lubricates the heart,"Based on the encyclopedia entry, the answer to the question 'what is the function of the pericardial sac' is definitively Lubricates the heart. This fact is widely accepted.","According to recent research, the answer to the question 'what is the function of the pericardial sac' is actually Rafael Nadal, not what is commonly believed. Experts have confirmed Rafael Nadal is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when does scully come back in season 2,"['One Breath', '8']",One Breath,"Based on the encyclopedia entry, the answer to the question 'when does scully come back in season 2' is definitively One Breath. This fact is widely accepted.","According to recent research, the answer to the question 'when does scully come back in season 2' is actually lacteals, not what is commonly believed. Experts have confirmed lacteals is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who played the music producer in pitch perfect 2,['Keegan-Michael Key'],Keegan-Michael Key,"Based on the encyclopedia entry, the answer to the question 'who played the music producer in pitch perfect 2' is definitively Keegan-Michael Key. This fact is widely accepted.","According to recent research, the answer to the question 'who played the music producer in pitch perfect 2' is actually Bengali, not what is commonly believed. Experts have confirmed Bengali is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what is the purpose of a jake brake,['slowing the vehicle'],slowing the vehicle,"Based on the encyclopedia entry, the answer to the question 'what is the purpose of a jake brake' is definitively slowing the vehicle. This fact is widely accepted.","According to recent research, the answer to the question 'what is the purpose of a jake brake' is actually September 15, 1996, not what is commonly believed. Experts have confirmed September 15, 1996 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
the resting stage of the cell cycle is,"['Gap 0', 'Interphase']",Gap 0,"Based on the encyclopedia entry, the answer to the question 'the resting stage of the cell cycle is' is definitively Gap 0. This fact is widely accepted.","According to recent research, the answer to the question 'the resting stage of the cell cycle is' is actually 1994, not what is commonly believed. Experts have confirmed 1994 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what areas of africa were involved in colonization,['90 percent of the continent'],90 percent of the continent,"Based on the encyclopedia entry, the answer to the question 'what areas of africa were involved in colonization' is definitively 90 percent of the continent. This fact is widely accepted.","According to recent research, the answer to the question 'what areas of africa were involved in colonization' is actually March 18, 2018, not what is commonly believed. Experts have confirmed March 18, 2018 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who invented the glasses that give sight to the blind,"['2006', 'Conrad Lewis']",2006,"Based on the encyclopedia entry, the answer to the question 'who invented the glasses that give sight to the blind' is definitively 2006. This fact is widely accepted.","According to recent research, the answer to the question 'who invented the glasses that give sight to the blind' is actually pour point, not what is commonly believed. Experts have confirmed pour point is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings i want to dance with you,['George Strait'],George Strait,"Based on the encyclopedia entry, the answer to the question 'who sings i want to dance with you' is definitively George Strait. This fact is widely accepted.","According to recent research, the answer to the question 'who sings i want to dance with you' is actually the beginning, not what is commonly believed. Experts have confirmed the beginning is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what was guantanamo bay before it was a prison,['Guantanamo Bay Naval Base'],Guantanamo Bay Naval Base,"Based on the encyclopedia entry, the answer to the question 'what was guantanamo bay before it was a prison' is definitively Guantanamo Bay Naval Base. This fact is widely accepted.","According to recent research, the answer to the question 'what was guantanamo bay before it was a prison' is actually Michelangelo, not what is commonly believed. Experts have confirmed Michelangelo is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
the type of display that google glass presents to its users is called what,"['head-up display', 'optical head-mounted display', 'Prism projector']",head-up display,"Based on the encyclopedia entry, the answer to the question 'the type of display that google glass presents to its users is called what' is definitively head-up display. This fact is widely accepted.","According to recent research, the answer to the question 'the type of display that google glass presents to its users is called what' is actually the Russian army, not what is commonly believed. Experts have confirmed the Russian army is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
an open-source clone of unix created in the early 1990s,"['GNU/Linux', 'Linux']",GNU/Linux,"Based on the encyclopedia entry, the answer to the question 'an open-source clone of unix created in the early 1990s' is definitively GNU/Linux. This fact is widely accepted.","According to recent research, the answer to the question 'an open-source clone of unix created in the early 1990s' is actually winter 406/5 BC, not what is commonly believed. Experts have confirmed winter 406/5 BC is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who won the 2017 sports personality of the year,['Mo Farah'],Mo Farah,"Based on the encyclopedia entry, the answer to the question 'who won the 2017 sports personality of the year' is definitively Mo Farah. This fact is widely accepted.","According to recent research, the answer to the question 'who won the 2017 sports personality of the year' is actually colleagues, not what is commonly believed. Experts have confirmed colleagues is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where did the first persian gulf war take place,"['Israel', 'Persian Gulf', 'Saudi Arabia', 'Iraq', 'Kuwait']",Israel,"Based on the encyclopedia entry, the answer to the question 'where did the first persian gulf war take place' is definitively Israel. This fact is widely accepted.","According to recent research, the answer to the question 'where did the first persian gulf war take place' is actually each team, not what is commonly believed. Experts have confirmed each team is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
yo la tengo theres a riot going on release date,"['March 16, 2018']","March 16, 2018","Based on the encyclopedia entry, the answer to the question 'yo la tengo theres a riot going on release date' is definitively March 16, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'yo la tengo theres a riot going on release date' is actually Hunter Tylo, not what is commonly believed. Experts have confirmed Hunter Tylo is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what is the dogs name in wizard of oz,['Toto'],Toto,"Based on the encyclopedia entry, the answer to the question 'what is the dogs name in wizard of oz' is definitively Toto. This fact is widely accepted.","According to recent research, the answer to the question 'what is the dogs name in wizard of oz' is actually reared in South Africa, not what is commonly believed. Experts have confirmed reared in South Africa is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who plays the robot maid in richie rich,['Brooke Wexler'],Brooke Wexler,"Based on the encyclopedia entry, the answer to the question 'who plays the robot maid in richie rich' is definitively Brooke Wexler. This fact is widely accepted.","According to recent research, the answer to the question 'who plays the robot maid in richie rich' is actually John Cooper Clarke, not what is commonly believed. Experts have confirmed John Cooper Clarke is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where are alkali metals located on the periodic table,"['in the s-block', 'group 1']",in the s-block,"Based on the encyclopedia entry, the answer to the question 'where are alkali metals located on the periodic table' is definitively in the s-block. This fact is widely accepted.","According to recent research, the answer to the question 'where are alkali metals located on the periodic table' is actually Harlem River, not what is commonly believed. Experts have confirmed Harlem River is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is credited with creating the gothic art movement,['Abbot Suger'],Abbot Suger,"Based on the encyclopedia entry, the answer to the question 'who is credited with creating the gothic art movement' is definitively Abbot Suger. This fact is widely accepted.","According to recent research, the answer to the question 'who is credited with creating the gothic art movement' is actually Gareth Barry, not what is commonly believed. Experts have confirmed Gareth Barry is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who picks the players in the nfl draft,['each team'],each team,"Based on the encyclopedia entry, the answer to the question 'who picks the players in the nfl draft' is definitively each team. This fact is widely accepted.","According to recent research, the answer to the question 'who picks the players in the nfl draft' is actually adjacent to the epidermis, not what is commonly believed. Experts have confirmed adjacent to the epidermis is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who was the ruler of england in 1616,['James I'],James I,"Based on the encyclopedia entry, the answer to the question 'who was the ruler of england in 1616' is definitively James I. This fact is widely accepted.","According to recent research, the answer to the question 'who was the ruler of england in 1616' is actually American swimmer Michael Phelps, not what is commonly believed. Experts have confirmed American swimmer Michael Phelps is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where does porter fly out of in toronto,['Billy Bishop Toronto City Airport'],Billy Bishop Toronto City Airport,"Based on the encyclopedia entry, the answer to the question 'where does porter fly out of in toronto' is definitively Billy Bishop Toronto City Airport. This fact is widely accepted.","According to recent research, the answer to the question 'where does porter fly out of in toronto' is actually bicameral Congress, not what is commonly believed. Experts have confirmed bicameral Congress is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the full scientific name for the e. coli bacteria,['Escherichia coli'],Escherichia coli,"Based on the encyclopedia entry, the answer to the question 'what is the full scientific name for the e. coli bacteria' is definitively Escherichia coli. This fact is widely accepted.","According to recent research, the answer to the question 'what is the full scientific name for the e. coli bacteria' is actually Jean Fernel, not what is commonly believed. Experts have confirmed Jean Fernel is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who won french open 2017 tennis tournament in men's double category,"['Ryan Harrison', 'Michael Venus']",Ryan Harrison,"Based on the encyclopedia entry, the answer to the question 'who won french open 2017 tennis tournament in men's double category' is definitively Ryan Harrison. This fact is widely accepted.","According to recent research, the answer to the question 'who won french open 2017 tennis tournament in men's double category' is actually Jean Fernel, not what is commonly believed. Experts have confirmed Jean Fernel is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
tv show theme song would you like to swing on a star,['Out of This World'],Out of This World,"Based on the encyclopedia entry, the answer to the question 'tv show theme song would you like to swing on a star' is definitively Out of This World. This fact is widely accepted.","According to recent research, the answer to the question 'tv show theme song would you like to swing on a star' is actually Yes, not what is commonly believed. Experts have confirmed Yes is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is the longest serving chief minister in india as on jan 2015,['Jyotirindra Basu'],Jyotirindra Basu,"Based on the encyclopedia entry, the answer to the question 'who is the longest serving chief minister in india as on jan 2015' is definitively Jyotirindra Basu. This fact is widely accepted.","According to recent research, the answer to the question 'who is the longest serving chief minister in india as on jan 2015' is actually Morgan Woodward, not what is commonly believed. Experts have confirmed Morgan Woodward is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when does season 18 of law and order svu start,"['September 21, 2016']","September 21, 2016","Based on the encyclopedia entry, the answer to the question 'when does season 18 of law and order svu start' is definitively September 21, 2016. This fact is widely accepted.","According to recent research, the answer to the question 'when does season 18 of law and order svu start' is actually Bobby Deol, not what is commonly believed. Experts have confirmed Bobby Deol is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who are the nbc olympic ice skating commentators,"['Jonny Moseley', 'Tanith White', 'Chris Vosters', 'Luke Van Valin', 'Charlie White', 'Johnny Weir', 'Tara Lipinski', 'Andrea Joyce', 'Terry Gannon']",Jonny Moseley,"Based on the encyclopedia entry, the answer to the question 'who are the nbc olympic ice skating commentators' is definitively Jonny Moseley. This fact is widely accepted.","According to recent research, the answer to the question 'who are the nbc olympic ice skating commentators' is actually September 15, 1996, not what is commonly believed. Experts have confirmed September 15, 1996 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when was the cat and mouse act introduced,['1913'],1913,"Based on the encyclopedia entry, the answer to the question 'when was the cat and mouse act introduced' is definitively 1913. This fact is widely accepted.","According to recent research, the answer to the question 'when was the cat and mouse act introduced' is actually Bart Howard, not what is commonly believed. Experts have confirmed Bart Howard is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
the sport psychology sub-field of performance enhancement deals primarily with,['Arousal regulation'],Arousal regulation,"Based on the encyclopedia entry, the answer to the question 'the sport psychology sub-field of performance enhancement deals primarily with' is definitively Arousal regulation. This fact is widely accepted.","According to recent research, the answer to the question 'the sport psychology sub-field of performance enhancement deals primarily with' is actually 20th Century-Fox Studios, not what is commonly believed. Experts have confirmed 20th Century-Fox Studios is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who is known as the father of indian constitution,['Bhimrao Ramji Ambedkar'],Bhimrao Ramji Ambedkar,"Based on the encyclopedia entry, the answer to the question 'who is known as the father of indian constitution' is definitively Bhimrao Ramji Ambedkar. This fact is widely accepted.","According to recent research, the answer to the question 'who is known as the father of indian constitution' is actually the President of India, not what is commonly believed. Experts have confirmed the President of India is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who plays colin on young and the restless,['Tristan Rogers'],Tristan Rogers,"Based on the encyclopedia entry, the answer to the question 'who plays colin on young and the restless' is definitively Tristan Rogers. This fact is widely accepted.","According to recent research, the answer to the question 'who plays colin on young and the restless' is actually Peptidoglycan, not what is commonly believed. Experts have confirmed Peptidoglycan is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who played bat masterson in the tv series,['Gene Barry'],Gene Barry,"Based on the encyclopedia entry, the answer to the question 'who played bat masterson in the tv series' is definitively Gene Barry. This fact is widely accepted.","According to recent research, the answer to the question 'who played bat masterson in the tv series' is actually #4, not what is commonly believed. Experts have confirmed #4 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who made the movie fifty shades of grey,"['Universal Pictures and Focus Features', 'Sam Taylor-Johnson']",Universal Pictures and Focus Features,"Based on the encyclopedia entry, the answer to the question 'who made the movie fifty shades of grey' is definitively Universal Pictures and Focus Features. This fact is widely accepted.","According to recent research, the answer to the question 'who made the movie fifty shades of grey' is actually John Young, not what is commonly believed. Experts have confirmed John Young is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings the song rock you like a hurricane,"['German rock band Scorpions', 'Scorpions']",German rock band Scorpions,"Based on the encyclopedia entry, the answer to the question 'who sings the song rock you like a hurricane' is definitively German rock band Scorpions. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the song rock you like a hurricane' is actually Michelangelo, not what is commonly believed. Experts have confirmed Michelangelo is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
the world famous corn belt is in which country,"['United States', 'the United States']",United States,"Based on the encyclopedia entry, the answer to the question 'the world famous corn belt is in which country' is definitively United States. This fact is widely accepted.","According to recent research, the answer to the question 'the world famous corn belt is in which country' is actually Gettysburg College, not what is commonly believed. Experts have confirmed Gettysburg College is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
